Risk ID,Related Asset(s),Risk Scenario,Key Vulnerability / Cause,Likelihood,Impact,Score,Priority,Treatment,Proposed Primary Controls
R1,A5;A23,Compromise of RMM platform enables attacker to push malware or commands to multiple customer environments,"Weak privileged access governance, excessive permissions, limited monitoring",5,5,25,Critical,Mitigate,"MFA, PAM, least privilege, logging, vendor hardening"
R2,A1;A4;A6;A7,"Phishing steals employee credentials and grants access to M365, VPN, ticketing or vault","Inconsistent MFA, limited awareness training, weak conditional access",5,4,20,Critical,Mitigate,"MFA, phishing training, conditional access, email protection"
R3,A13;A23,"Leak of customer documentation exposes network diagrams, admin details and security architecture","Poor data classification, broad access to documentation, excessive sharing",4,5,20,Critical,Mitigate,"Access control, classification, DLP, review of sharing permissions"
R4,A12;A11;A2;A4,Ransomware disrupts internal operations and support services,"Endpoints exposed to phishing/malware, backups not isolated or tested consistently",4,5,20,Critical,Mitigate,"EDR, immutable backups, restore testing, segmentation"
R5,A6;A14;A23,Abuse of privileged accounts causes unauthorized changes in customer or internal systems,"Shared or over-privileged accounts, poor session control, inadequate review",4,5,20,Critical,Mitigate,"Named admin accounts, PAM, access reviews, session logging"
R6,A10;A11;A12,Backup failure prevents recovery after cyber incident or hardware loss,"Backups incomplete, untested restores, credentials tied to production domain",4,5,20,Critical,Mitigate,"3-2-1 backups, separate creds, monthly restore tests"
R7,A14;A15;A16,Lost or stolen device exposes sensitive company or customer data,"Missing full-disk encryption, no MDM enforcement, local data storage",4,4,16,High,Mitigate,"BitLocker/FileVault, MDM, remote wipe, screen lock"
R8,A10;A14;A15,Unpatched vulnerability on workstation or server leads to compromise,"Inconsistent patching, limited maintenance windows, no compliance dashboard",4,4,16,High,Mitigate,"Patch management process, vulnerability scanning, maintenance calendar"
R9,A8;A9;A10,Flat internal network allows lateral movement from user device to critical systems,"Insufficient segmentation between office, admin, lab and guest networks",4,4,16,High,Mitigate,"VLAN segmentation, firewall rules, admin jump host"
R10,A24;A1,Business email compromise or domain spoofing leads to invoice fraud or reputation damage,Weak email authentication and poor verification of payment change requests,3,5,15,High,Mitigate,"SPF/DKIM/DMARC, payment verification process, awareness"
R11,A18;A19;A20,GDPR or contractual non-compliance due to inadequate policies and evidence,"No formal ISMS baseline, incomplete records of processing, weak governance",3,4,12,High,Mitigate,"Policy pack, risk register, supplier controls, retention rules"
R12,A21;A5,"Supply chain compromise through SaaS vendor, distributor portal or MSP tooling","No formal vendor assessment, excessive trust in third parties",3,4,12,High,Mitigate,"Vendor security review, security clauses, scoped integrations"
R13,A4;A13;A18,Support tickets or shared files expose sensitive customer data to unauthorized staff,"Role model too broad, no classification labels, limited audit review",3,4,12,High,Mitigate,"RBAC, confidentiality labels, logging, approvals for exports"
R14,A4;A22,"Incident goes undetected or is escalated too late, breaching SLA and increasing impact","No 24/7 monitoring, alert fatigue, missing incident runbooks",3,4,12,High,Mitigate,"Alert tuning, IR plan, severity matrix, designated on-call roles"
R15,A7;A23,Remote access session hijack or misuse compromises customer systems,"Password-based access, limited IP/device restrictions, no step-up auth",3,5,15,High,Mitigate,"MFA, device trust, session timeout, dedicated admin path"
R16,A17;A10,Lab or test environment is used as a pivot into production or customer data,"Poor isolation, reused credentials, outdated test systems",3,3,9,Medium,Mitigate,"Segmentation, scrubbed data, separate identities"
R17,A25,"Insider misuse or error causes data loss, unauthorized disclosure or service outage","Broad access, weak joiner/mover/leaver process, little accountability",2,5,10,Medium,Mitigate,"Offboarding, RBAC, approvals, logging, awareness"
R18,A2;A3;A4,"Extended outage of cloud business platforms disrupts sales, support and billing","Single-provider dependency, no fallback procedures, limited export capability",3,4,12,High,Mitigate,"BCP, export/backups, manual workaround procedures"
