Risk ID,Asset,Threat,Vulnerability,Impact,Likelihood,Risk Score,Priority,Treatment Option,Proposed Control
R1,Patient Database,Ransomware infection,Flat network architecture,5,3,15,High,Mitigate,Network segmentation and EDR
R2,Telemedicine Platform,Account takeover,Shared user accounts,5,4,20,Critical,Mitigate,MFA and unique accounts
R3,Backup System,Data loss,Backup restore never tested,5,3,15,High,Mitigate,Regular restore testing
R4,Microsoft 365,Phishing attack,Lack of user awareness,4,4,16,Critical,Mitigate,Security training + MFA
R5,Patient Data,Data breach,Weak access control,5,3,15,High,Mitigate,Access control + encryption
R6,VPN Access,Unauthorized access,Weak authentication,5,3,15,High,Mitigate,MFA for VPN
R7,Endpoints,Malware infection,Outdated systems,3,3,9,Medium,Mitigate,Patch management + EDR
R8,Internal Network,Lateral movement,Flat network architecture,5,3,15,High,Mitigate,Network segmentation
R9,Telemedicine Platform,Service outage,Dependency on SaaS provider,3,3,9,Medium,Transfer,SLA agreement
R10,Backup System,Backup failure,Improper configuration,5,2,10,Medium,Mitigate,Backup monitoring
R11,HR Data,Insider misuse,Excessive privileges,4,3,12,High,Mitigate,Access review
R12,Cloud Services,Data leak,Misconfiguration,5,3,15,High,Mitigate,Security configuration review
